"","colnames.base_estacionaria.","tipo","test"
"120","Vendas.reais...varejo...móveis.e.eletrodomésticos...índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRELETRSA12",0,1
"121","Vendas.reais...varejo...índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_IVVRSA12",0,1
"122","Vendas.nominais...indústria...índice..média.2006...100....SP.......Federação.e.Centro.das.Indústrias.do.Estado.de.São.Paulo..Levantamento.de.Conjuntura..Fiesp....FIESP12_TVN12",0,1
"123","Vendas.nominais...varejo...combustíveis.e.lubrificantes...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VNCOMB12",0,1
"124","Vendas.nominais...varejo...hipermercados..prod..alim..bebida.e.fumo...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VNSUP12",0,1
"125","Vendas.nominais...varejo...hipermercados.e.superm....índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VNSUPT12",0,1
"126","Consumo.aparente...indústria.extrativa...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAIEX12",0,1
"127","Consumo.aparente...indústria.extrativa...índice.dessaz...média.2002..100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAIEXDESSAZ12",0,1
"128","Consumo.aparente...indústria.geral...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAIG12",0,1
"129","Consumo.aparente...indústria.de.transformação...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAIT12",0,1
"130","Consumo.aparente...indústria.geral...índice.dessaz...média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAIGDESSAZ12",0,1
"131","Consumo.aparente...indústria.de.transformação...índice.dessaz...média.2002..100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAITDESSAZ12",0,1
"132","Consumo.aparente...coque..produtos.derivados.petro..e.biocombustíveis...índice.média.2012..100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAPET12",0,1
"133","Consumo.aparente...metalurgia...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAMET12",0,1
"134","Consumo.aparente...eq..de.informática..eletrônicos.e.ópticos...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAINFO12",0,1
"135","Consumo.aparente...máquinas..aparelhos.e.materiais.elétricos...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAELET12",0,1
"136","Consumo.aparente...máquinas.e.equipamentos...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAEQUIP12",0,1
"137","Consumo.aparente...móveis.e.produtos.diversos...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAMOV12",0,1
"138","Consumo.aparente...metalurgia...índice.dessaz...média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAMETDESSAZ12",0,1
"139","Consumo.aparente...eq..de.informática..produtos.eletrônicos.e.ópticos..índice.dessaz.média.2012.100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAINFODESSAZ12",0,1
"140","Consumo.aparente...máquinas..aparelhos.e.materiais.elétricos...índice.dessaz...média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAELETDESSAZ12",0,1
"141","Consumo.aparente...máquinas.e.equipamentos...índice.dessaz...média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAEQUIPDESSAZ12",0,1
"142","Consumo.aparente...móveis.e.produtos.diversos...índice.dessaz...média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAMOVDESSAZ12",0,1
"143","Consumo.aparente...produtos.alimentícios...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAALIM12",0,1
"144","Consumo.aparente...produtos.de.fumo...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAFUM12",0,0
"145","Consumo.aparente...produtos.têxtis...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CATEX12",0,1
"146","Consumo.aparente...produtos.de.madeira...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAMAD12",0,1
"147","Consumo.aparente...produtos.químicos...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAQUI12",0,1
"148","Consumo.aparente...produtos.farmoquímicos.e.farmacêuticos...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAFARM12",0,1
"149","Consumo.aparente...produtos.de.borracha.e.de.material.plástico...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CABORR12",0,1
"150","Consumo.aparente...produtos.de.minerais.nãometálicos...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAMIN12",0,1
"151","Consumo.aparente...produtos.de.metal..exceto.máquinas.e.equipamentos...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAMETAL12",0,1
"152","Consumo.aparente...outros.eq..de.transporte..exceto.veículos.automotores...índice..média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAOUT12",0,1
"153","Consumo.aparente...produtos.alimentícios...índice.dessaz...média.2012...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_CAALIMDESSAZ12",0,1
